model_name,original_name,pathogen,name,n_compounds,n_positives,n_added_negatives,n_added_decoys,auroc_mean,auroc_std,auprc_mean,auprc_std,baseline_auprc_mean,baseline_auprc_std,bedroc_mean,bedroc_std,baseline_bedroc_mean,baseline_bedroc_std,w1,w2,w3,w4,w5,w6,final_weight,final_normalized_weight,decision_cutoff_rank,portfolio,model_size_total_mb,oof_auc_cddd_mean,oof_auc_cddd_std,oof_auc_chemeleon_mean,oof_auc_chemeleon_std,oof_auc_clamp_mean,oof_auc_clamp_std,oof_auc_morgan_mean,oof_auc_morgan_std,oof_auc_rdkit_mean,oof_auc_rdkit_std
chembl_single_point_0,SP_0000,mtuberculosis,SP_0000,87159,1640,0,0,0.9168,0.0091,0.3882,0.0281,0.0188,0.0,0.5739,0.0192,0.06,0.0,1.0,0.7227,0.6882,0.7492,0.9287,0.5356,0.7707,4.3062,0.8003,RF;XGB,60.809,0.9077,0.0014,0.8961,0.0033,,,,,0.9072,0.0027
chembl_single_point_1,SP_0008,mtuberculosis,SP_0008,1032,516,419,0,0.9804,0.0055,0.9832,0.0044,0.5,0.0017,0.9999,0.0,0.5,0.0017,0.188,0.9347,0.5369,0.5554,0.2509,0.3387,0.4674,2.6115,0.4967,LR;RF;SVC;XGB,5.893,,,0.98,0.0033,0.9737,0.0025,,,0.9712,0.0038
chembl_single_point_2,SP_0007,mtuberculosis,SP_0007,918,459,192,0,0.884,0.0122,0.8916,0.0099,0.5,0.0019,0.9815,0.0171,0.5,0.0019,0.5817,0.6135,0.4351,0.535,0.2272,0.3197,0.452,2.5255,0.5138,LR;RF;SVC;XGB,5.44,,,0.8721,0.0103,0.8642,0.0047,0.8576,0.0099,0.8517,
chembl_single_point_3,SP_0003,mtuberculosis,SP_0003,834,417,201,0,0.9297,0.0234,0.9244,0.0298,0.5,0.003,0.9801,0.024,0.5,0.003,0.518,0.7657,0.4716,0.5335,0.2039,0.3057,0.4664,2.6059,0.4692,LR;RF;SVC;XGB,5.703,,,0.927,0.0076,0.922,0.0183,0.9246,0.0032,0.9258,0.0076
chembl_single_point_4,SP_0001,mtuberculosis,SP_0001,690,107,0,0,0.9206,0.0203,0.7554,0.0724,0.1551,0.0039,0.8429,0.0732,0.1624,0.0036,1.0,0.7353,0.5703,0.639,0.1639,0.0712,0.53,2.9613,0.7159,LR;RF;SVC;XGB,7.804,,,0.8887,0.0075,0.9187,0.0133,,,0.8815,0.009
chembl_single_point_5,SP_0002,mtuberculosis,SP_0002,565,271,0,0,0.8799,0.0229,0.8836,0.0263,0.4797,0.0039,0.9903,0.008,0.4797,0.0039,1.0,0.5996,0.4349,0.5498,0.1292,0.257,0.4951,2.7663,0.5173,LR;RF;SVC;XGB,10.249,,,0.869,0.0125,0.8738,,0.8718,0.0101,0.862,0.0128
chembl_single_point_6,SP_0009,mtuberculosis,SP_0009,437,203,0,0,0.8372,0.0484,0.812,0.0655,0.4645,0.0049,0.9095,0.0738,0.4645,0.0049,1.0,0.4572,0.366,0.4687,0.0936,0.1913,0.4295,2.3998,0.5008,LR;RF;SVC;XGB,4.605,,,0.8464,0.018,0.8394,0.0122,,,0.8478,0.0456
chembl_single_point_7,SP_0004,mtuberculosis,SP_0004,328,139,0,0,0.9002,0.0394,0.8782,0.0525,0.4238,0.0055,0.9751,0.0279,0.4238,0.0054,1.0,0.6673,0.4539,0.5506,0.0633,0.1113,0.4744,2.6506,0.5674,LR;RF;SVC;XGB,2.986,,,0.8911,0.0137,,,0.8876,,0.9173,
chembl_single_point_8,SP_0005,mtuberculosis,SP_0005,308,154,15,0,0.8435,0.0465,0.8604,0.0475,0.5,0.0058,0.972,0.0346,0.5,0.0058,0.9026,0.4785,0.4004,0.5244,0.0578,0.13,0.4156,2.3221,0.4756,LR;RF;SVC;XGB,4.943,,,0.8013,0.0094,0.8198,0.0051,0.8156,0.0113,,
chembl_single_point_9,SP_0006,mtuberculosis,SP_0006,209,102,0,0,0.8576,0.0572,0.873,0.0553,0.488,0.0119,0.9877,0.0186,0.488,0.0119,1.0,0.5253,0.4198,0.5448,0.0303,0.065,0.4309,2.4076,0.4898,LR;RF;SVC;XGB,3.464,,,0.8544,0.017,0.8688,0.0298,0.8814,0.0135,0.8562,0.0083
chembl_dose_response_00,DR_0000,mtuberculosis,DR_0000,10659,3889,0,0,0.9351,0.0062,0.8999,0.0143,0.3648,0.0001,0.9732,0.0118,0.3651,0.0001,1.0,0.7837,0.5027,0.5714,0.5037,0.6605,0.6703,3.7452,0.5981,RF;XGB,16.654,,,0.9265,0.0035,0.9204,0.0023,0.9294,0.0022,,
chembl_dose_response_01,DR_0001,mtuberculosis,DR_0001,7523,2297,0,0,0.9286,0.0056,0.876,0.0155,0.3053,0.0003,0.96,0.014,0.306,0.0003,1.0,0.7621,0.5146,0.5899,0.4312,0.5721,0.645,3.6038,0.6631,RF;XGB,23.793,,,0.9229,0.0016,0.9151,0.0025,0.9248,0.0027,,
chembl_dose_response_02,DR_0002,mtuberculosis,DR_0002,6045,2286,0,0,0.9122,0.0209,0.8817,0.0278,0.3782,0.0004,0.9704,0.016,0.3784,0.0004,1.0,0.7072,0.4789,0.5631,0.3901,0.5714,0.6185,3.4558,0.6019,RF;XGB,26.82,,,0.9066,0.0056,0.903,0.0033,0.9059,0.0057,,
chembl_dose_response_03,DR_0004,mtuberculosis,DR_0004,3629,1603,0,0,0.8829,0.0132,0.8682,0.017,0.4417,0.0006,0.9672,0.0175,0.4418,0.0006,1.0,0.6095,0.4356,0.5367,0.323,0.5335,0.5731,3.2021,0.5496,LR;RF;SVC;XGB,15.612,,,0.8824,0.0037,0.8743,0.004,0.8831,0.0041,,
chembl_dose_response_04,DR_0003,mtuberculosis,DR_0003,3082,250,0,0,0.9267,0.0323,0.701,0.0382,0.0811,0.0001,0.79,0.0273,0.1011,0.0001,1.0,0.7557,0.7619,0.7619,0.3078,0.25,0.6395,3.5731,0.8219,LR;RF;SVC;XGB,8.865,,,0.9132,0.0087,0.8886,0.0138,0.89,0.0075,0.9043,0.0123
chembl_dose_response_05,DR_0012,mtuberculosis,DR_0012,2450,1225,1039,0,0.925,0.0065,0.9269,0.0098,0.5,0.0,0.9834,0.0145,0.5,0.0,0.1518,0.7501,0.4744,0.5371,0.2903,0.5125,0.4527,2.5294,0.5246,LR;RF;SVC;XGB,13.001,,,0.9119,0.0033,0.9098,0.0031,0.8986,0.003,,
chembl_dose_response_06,DR_0005,mtuberculosis,DR_0005,1561,633,0,0,0.8733,0.0207,0.8498,0.0241,0.4055,0.0017,0.9704,0.0082,0.4057,0.0016,1.0,0.5777,0.4345,0.5524,0.2656,0.3777,0.5346,2.987,0.6022,LR;RF;SVC;XGB,12.327,,,0.8735,0.0094,0.8704,0.0095,,,0.8546,
chembl_dose_response_07,DR_0006,mtuberculosis,DR_0006,1542,660,0,0,0.8645,0.0138,0.8341,0.0249,0.428,0.0008,0.9518,0.031,0.4281,0.0007,1.0,0.5483,0.4077,0.5258,0.2651,0.3867,0.5223,2.9183,0.5567,LR;RF;SVC;XGB,11.956,,,0.859,0.007,0.8525,0.005,0.8558,0.0082,,
chembl_dose_response_08,DR_0013,mtuberculosis,DR_0013,772,386,277,0,0.9174,0.016,0.9305,0.0157,0.5,0.0023,0.9935,0.0111,0.5,0.0023,0.2824,0.7246,0.4783,0.5483,0.1867,0.2953,0.4193,2.3428,0.5452,LR;RF;SVC;XGB,4.428,,,0.9035,0.0086,0.9046,0.0084,0.9046,0.0098,,
chembl_dose_response_09,DR_0007,mtuberculosis,DR_0007,659,323,0,0,0.9163,0.0146,0.9171,0.0208,0.4901,0.0034,0.9841,0.0171,0.4901,0.0034,1.0,0.721,0.4671,0.5404,0.1553,0.2743,0.5263,2.9406,0.5291,LR;RF;SVC;XGB,14.784,,,0.8964,0.0027,0.8895,0.0094,0.9131,0.0052,0.8903,
chembl_dose_response_10,DR_0009,mtuberculosis,DR_0009,618,306,0,0,0.8759,0.0195,0.8715,0.0201,0.4951,0.0034,0.9584,0.0331,0.4951,0.0034,1.0,0.5863,0.415,0.5108,0.1439,0.2687,0.4874,2.7233,0.4792,LR;RF;SVC;XGB,13.751,,,0.8395,0.0096,,,0.8486,0.012,0.8288,0.0092
chembl_dose_response_11,DR_0008,mtuberculosis,DR_0008,492,115,0,0,0.9806,0.0153,0.9348,0.0549,0.2337,0.0013,0.9525,0.063,0.236,0.0013,1.0,0.9353,0.6241,0.6376,0.1089,0.0813,0.5645,3.1541,0.731,LR;RF;SVC;XGB,4.264,,,0.9786,0.0051,0.98,0.0044,,,,
chembl_dose_response_12,DR_0010,mtuberculosis,DR_0010,451,218,0,0,0.8304,0.0189,0.8504,0.0211,0.4834,0.0056,0.9769,0.0195,0.4834,0.0056,1.0,0.4347,0.3974,0.5344,0.0975,0.21,0.4457,2.4903,0.5943,LR;RF;SVC;XGB,11.912,,,0.8091,0.0184,0.7938,0.0185,0.8236,0.0134,,
chembl_dose_response_13,DR_0011,mtuberculosis,DR_0011,293,102,0,0,0.8266,0.0371,0.7753,0.0319,0.3481,0.0075,0.9591,0.0198,0.3484,0.0075,1.0,0.422,0.3958,0.5659,0.0536,0.065,0.417,2.3299,0.6127,LR;RF;SVC;XGB,4.991,,,0.7921,0.0179,0.7992,0.0055,,,0.8137,0.0236
chembl_dose_response_14,DR_0014,mtuberculosis,DR_0014,174,85,0,0,0.7732,0.0537,0.77,0.0761,0.4886,0.0064,0.8913,0.16,0.4886,0.0064,1.0,0.2441,0.3071,0.4396,0.0206,0.0437,0.3425,1.9137,0.4046,LR;RF;SVC;XGB,4.893,,,0.7825,0.0135,0.769,0.0592,0.775,0.0328,,
pubchem_0,449762_merged3,mtuberculosis,449762_merged3,329692,3700,0,0,0.9606,0.0035,0.4428,0.019,0.0112,0.0,0.7264,0.0146,0.0558,0.0,1.0,0.8688,0.7182,0.8551,1.0,0.65,0.8487,4.742,0.7677,RF;XGB,186.163,,,0.8324,0.0035,0.9572,0.0014,,,0.822,0.0025
pubchem_1,504645_merged2,mtuberculosis,504645_merged2,144,72,32,0,0.8708,0.0407,0.8602,0.0283,0.5,0.0172,0.9152,0.106,0.5,0.0172,0.5556,0.5694,0.4003,0.4613,0.0122,0.0275,0.3377,1.8868,0.535,LR;RF;SVC;XGB,3.537,0.7461,0.0058,0.7652,0.043,0.8945,0.0068,0.758,,,
pubchem_aid1949,1949,mtuberculosis,1949,97510,1594,0,0,0.9373,0.0064,0.4209,0.0175,0.0164,0.0,0.6501,0.0169,0.0586,0.0,1.0,0.7909,0.7056,0.8142,0.9862,0.533,0.805,4.4978,0.8546,RF;XGB,39.733,0.8816,0.0045,0.893,0.0057,0.9636,0.0022,,,,
pubchem_aid2842,2842,mtuberculosis,2842,23462,1248,0,0,0.9432,0.0095,0.6116,0.0221,0.0532,0.0001,0.7343,0.0128,0.0812,0.0001,1.0,0.8106,0.7949,0.8021,0.5748,0.5138,0.7494,4.1872,0.84,RF;XGB,17.388,,,0.9201,0.0035,0.9516,0.0014,,,,
pubchem_aid449764,449764,mtuberculosis,449764,3464,1732,1202,0,0.9078,0.0074,0.8929,0.0089,0.5,0.0007,0.9523,0.0166,0.5,0.0007,0.306,0.6928,0.4366,0.5026,0.3184,0.5407,0.4662,2.6048,0.489,LR;RF;SVC;XGB,19.291,,,0.7549,0.0019,0.9154,0.0029,,,0.7571,0.0039
